clip_id,condition,severity,seed,duration_sec,avg_confidence,tokens_emitted,transcript,clean_reference
clean_02,dropout,medium,42,6.0,0.9638,96,THE SUMMER MONTHS PLIED UP AND DOWN THE LOCH AND INCIDENTALLY CARRIED ON COMMUNICATION BETWEEN,THE SUMMER MONTHS PLIED UP AND DOWN THE LOCH AND INCIDENTALLY CARRIED ON COMMUNICATION BETWEEN
clean_02,reverberation,medium,42,6.0,0.9572,92,THE SUMMERHONS PLIED UP AND DOWN THE LOCT AND INCIDENTALLY CARRIED ON COMMUNICATION BETWEEN,THE SUMMER MONTHS PLIED UP AND DOWN THE LOCH AND INCIDENTALLY CARRIED ON COMMUNICATION BETWEEN
clean_03,clean,none,-1,6.5,0.9699,80,VENTURE OF THE CART IT BEFELL IN THE MONTH OF MAY QUEEN GUENEVER CALLED TO HER N,VENTURE OF THE CART IT BEFELL IN THE MONTH OF MAY QUEEN GUENEVER CALLED TO HER N
clean_03,additive_noise,medium,42,6.5,0.9522,79,VENTURE OF THE COT IT BEFELL IN THE MONTH OF MAY QUEEN WHENEV ER CALLED TO HER,VENTURE OF THE CART IT BEFELL IN THE MONTH OF MAY QUEEN GUENEVER CALLED TO HER N
clean_03,clipping,medium,42,6.5,0.9729,80,VENTURE OF THE CART IT BEFELL IN THE MONTH OF MAY QUEEN GUENEVER CALLED TO HER N,VENTURE OF THE CART IT BEFELL IN THE MONTH OF MAY QUEEN GUENEVER CALLED TO HER N
clean_03,bandwidth,medium,42,6.5,0.9616,80,VENTURE OF THE CART IT BEFELL IN THE MONTH OF MAY QUEEN GUENEVER CALLED TO HER N,VENTURE OF THE CART IT BEFELL IN THE MONTH OF MAY QUEEN GUENEVER CALLED TO HER N
clean_03,dropout,medium,42,6.5,0.9589,80,VENTURE OF THE CART IT BEFELL IN THE MONTH OF MAY QUEEN GUENEVER CALLED TO HER N,VENTURE OF THE CART IT BEFELL IN THE MONTH OF MAY QUEEN GUENEVER CALLED TO HER N
clean_03,reverberation,medium,42,6.5,0.9713,79,VENTURE OF THE CART IT BEFELL IN THE MONTH OF MAY QUEEN WHATEVER CALLED TO HER,VENTURE OF THE CART IT BEFELL IN THE MONTH OF MAY QUEEN GUENEVER CALLED TO HER N
clean_04,clean,none,-1,6.5,0.9738,98,TABLE ROUND AND GAVE THEM WARNING THAT EARLY UPON THE MORROW SHE WOULD RIDE A MAYING INTO THE WOO,TABLE ROUND AND GAVE THEM WARNING THAT EARLY UPON THE MORROW SHE WOULD RIDE A MAYING INTO THE WOO
clean_04,additive_noise,medium,42,6.5,0.9499,88,TABLE ROUND AND GAVE THEM WARNING THAT EARLY UPON THE MORROW HE WOULD RIDE A MAN IN T WO,TABLE ROUND AND GAVE THEM WARNING THAT EARLY UPON THE MORROW SHE WOULD RIDE A MAYING INTO THE WOO
clean_04,clipping,medium,42,6.5,0.9733,98,TABLE ROUND AND GAVE THEM WARNING THAT EARLY UPON THE MORROW SHE WOULD RIDE A MAYING INTO THE WOO,TABLE ROUND AND GAVE THEM WARNING THAT EARLY UPON THE MORROW SHE WOULD RIDE A MAYING INTO THE WOO
clean_04,bandwidth,medium,42,6.5,0.9746,97,TABLE ROUND AND GAVE THEM WARNING THAT EARLY UPON THE MORROW SHE WOULD RIDE A MAYING INTO THE WOO,TABLE ROUND AND GAVE THEM WARNING THAT EARLY UPON THE MORROW SHE WOULD RIDE A MAYING INTO THE WOO
clean_04,dropout,medium,42,6.5,0.9758,98,TABLE ROUND AND GAVE THEM WARNING THAT EARLY UPON THE MORROW SHE WOULD RIDE A MAYING INTO THE WOO,TABLE ROUND AND GAVE THEM WARNING THAT EARLY UPON THE MORROW SHE WOULD RIDE A MAYING INTO THE WOO
clean_04,reverberation,medium,42,6.5,0.9687,96,TABLE ROUND AND GAVE THEM WARNING THAT EARLY UPON THE MORROW SHE WOULD RIDE A MAYING INTO THE WO,TABLE ROUND AND GAVE THEM WARNING THAT EARLY UPON THE MORROW SHE WOULD RIDE A MAYING INTO THE WOO
clean_05,clean,none,-1,6.0,0.972,119,MISSUS ALLEN SAID CATHERINE THE NEXT MORNING WILL THERE BE ANY HARM IN MY CALLING ON MISS TILNEY TO DAY I SHALL NOT BE,MISSUS ALLEN SAID CATHERINE THE NEXT MORNING WILL THERE BE ANY HARM IN MY CALLING ON MISS TILNEY TO DAY I SHALL NOT BE
clean_05,additive_noise,medium,42,6.0,0.9438,117,SUS ALLEN SAID CHATHERINE THE NEXT MORNING WILL THERE BE ANY HARM IN MY CALLING ON MISS TILNEY TO DAY I SHALL NOT BE,MISSUS ALLEN SAID CATHERINE THE NEXT MORNING WILL THERE BE ANY HARM IN MY CALLING ON MISS TILNEY TO DAY I SHALL NOT BE
clean_05,clipping,medium,42,6.0,0.972,119,MISSUS ALLEN SAID CATHERINE THE NEXT MORNING WILL THERE BE ANY HARM IN MY CALLING ON MISS TILNEY TO DAY I SHALL NOT BE,MISSUS ALLEN SAID CATHERINE THE NEXT MORNING WILL THERE BE ANY HARM IN MY CALLING ON MISS TILNEY TO DAY I SHALL NOT BE
clean_05,bandwidth,medium,42,6.0,0.9635,118,ISSUS ALLEN SAID CATHERINE THE NEXT MORNING WILL THERE BE ANY HARM IN MY CALLING ON MISS TILNEY TO DAY I SHALL NOT BE,MISSUS ALLEN SAID CATHERINE THE NEXT MORNING WILL THERE BE ANY HARM IN MY CALLING ON MISS TILNEY TO DAY I SHALL NOT BE
clean_05,dropout,medium,42,6.0,0.9662,119,MISSUS ALLEN SAID CATHERINE THE NEXT MORNING WILL THERE BE ANY HARM IN MY CALLING ON MISS TILNEY TO DAY I SHALL NOT BE,MISSUS ALLEN SAID CATHERINE THE NEXT MORNING WILL THERE BE ANY HARM IN MY CALLING ON MISS TILNEY TO DAY I SHALL NOT BE
clean_05,reverberation,medium,42,6.0,0.9414,118,MISSUS ALLEN SAID CATHERINE THE NEXT MORNING WILL THERE BE ANY HARM IN MICHAEL KNOW MISS TILNEY TO DAY I SHALL NOT BE,MISSUS ALLEN SAID CATHERINE THE NEXT MORNING WILL THERE BE ANY HARM IN MY CALLING ON MISS TILNEY TO DAY I SHALL NOT BE
